,sentences
0,"This book, in whole or in part, must not be used for any commercial purpose."
1,Free sharing of this book in its entirety is authorized.
2,10 BRAIN vs. That much is clear.
3,"But we want to truly understand our inner self, and why we humans are the way we are."
4,"They are difficult ones, to be sure, and this book is not a casual treatment of this subject, so you can expect real answers to these questions."
5,"For starters, if you believe thoughts and beliefs occur mainly in the brain, you are about to be very surprised."
6,"Humans have long sought answers to deep questions regarding their thoughts and beliefs, since these are about the inner core of human life."
7,We cannot simply look inside ourselves since that would be using self to try to explain self.
8,"And looking to psychology and science will fall far short since most science denies the existence of a soul, and therefore can only deal with the physical interfaces of the body."
9,"There is no better source of truth on the subject of the human soul than the Bible, because God designed this immaterial part of humans, and only He could explain it."
10,"So to understand this subject, we must look to the Designer for answers."
11,This book will challenge the Reader's thinking and question some of your core beliefs about the workings of the inner human.
12,"Otherwise, why would you want to read it?"
13,Mostly enormous failures.
14,"And it is not just about ourselves, but also those around us, those who have preceded us, and those who will come along in the future."
15,"It explains what the Bible says about the inner human, and will do so without apology."
16,"This is an important distinction because we are defining what a true human actually is, which is the immaterial part."
17,"Most cells of the body are constantly being replaced, therefore much of what was formerly our body died and was replaced long ago."
18,No.
19,"The material will someday cease to function entirely, but the same immaterial inner self will live on forever."
20,"The material physical body interfaces with the immaterial real human, but the two exist on different levels."
21,"When it comes to the structure of the material side of humans, science has discovered many things which have improved our health and enhanced our lives."
22,And we are grateful.
23,But science has failed miserably when it comes to the immaterial part of humans because it cannot reach the true inner human which is outside the material realm.
24,"Science calls this ""the hard question,"" because it has no answer regarding why humans can think and form beliefs."
25,"And He has revealed to us a lot more than most people realize, as we will discuss in detail."
26,It would also waste your time since it is mostly wrong.
27,"In other words, science is baffled by the inner human, and cannot understand it at any higher level beyond the material or animal levels."
28,"So they simply call it ""the hard question"" and move on."
29,"When science starts with a false premise, such as denying the existence of the human soul, there can be no basis for deep knowledge about the subject."
30,"But that does not apply to the inner human, which is beyond its reach and understanding."
31,"It is simply an accurate representation of what science has told us, that it does not understand much at all about human thinking and beliefs."
32,"Therefore we look to the Bible for answers, where they have been provided."
33,"The human body is therefore a material mechanism created by God which enables the inner immaterial human to interface with the material universe He created, with other humans, and with Him."
34,"The immaterial human needs a body to support it, both on earth and during eternity, although the eternal one will be much different."
35,"The human body is formed by DNA passed down from our ancestors, but each soul is created directly and uniquely by God."
36,"So we must quickly get beyond viewing the body, including the brain, as the true human when we attempt to understand the immaterial part of humans."
37,"For those who firmly believe the physical body is the actual human, this book is not for them."
38,"They believe that when this mortal body dies, that is the end, and nothing exists beyond the material."
39,"They believe humans are just another animal, although possibly a bit more advanced."
40,This book will not attempt to refute such a basic unbelief system.
41,"For those who have such beliefs, it would be 8 wise to continue reading and use the immaterial soul to think about the eternal future beyond death."
42,We will all live eternally either way.
43,But there are two very different ways of living eternally.
44,One is wonderful and the other is not.
45,"As a preview, the brain is NOT the center of human thought and belief."
46,Therefore it is not the true human.
47,"9 CHAPTER 2 BRAIN vs. We have been taught that the brain is the center of human thought, and therefore the center of humanity."
48,"Human science attempts to convince that the brain is the center of human life and the source of humanity, because it cannot find the soul."
49,"However, the Bible clearly describes the immaterial human soul as the true human, the location of thoughts and beliefs, and the center of our humanity."
50,"Please do not misunderstand, the brain is a wonderful organ designed by God, and incredible in its function."
51,"It is generally an artificial intelligence supercomputer with sensory connectors to the five main senses, plus a central controller for the physical body."
52,However the brain is overrated by those who attempt to attribute the higher level soul functions to it.
53,"This misguided approach is based mainly on the premise that if the soul cannot be discovered in a physical way, then it must not exist."
54,"What, therefore, is the role of the brain?"
55,"But its primary function as related to the inner human is to feed the soul with sensory data brought in by the five main senses which are sight, hearing, taste, touch, and smell."
56,"Therefore the brain relieves the soul from thinking about how to perform countless menial tasks, and frees the soul to engage in more meaningful endeavors, and truly live, not just survive."
57,"In this regard, the brain has been delegated certain tasks to perform apart from direct soul involvement."
58,"Meanwhile the soul can focus on higher order living which makes life more enjoyable, and provides the ability to interface with God."
59,Therefore our higher order memories are located in the soul.
60,"It performs emergency actions apart from direct soul involvement based on real-time sensory data due to the constraints of time, including emergency ""fight or flight"" actions."
61,"As such, the brain plays a primary role in the basic survival of the person."
62,"As mentioned, the brain is delegated sensory based tasks and memory associated with the five senses."
63,"Sensory information is funneled from each of the senses through the brain, where the brain acts as a sensory gateway between the body's senses and the soul."
64,One sense supports another.
65,"It makes our surroundings familiar, so we can focus on specific tasks and interests at higher levels."
66,"The primary mechanism of sensory memory is pattern matching, whereby the memory of a previous experience by our senses matches what we sense later, and a match is made, whether exact or similar in some way."
67,"It is how we recognize people, grass, and sky, why we know certain foods when we taste them, or know a car or lawn mower when we hear them, or a breeze when we feel it on our face."
68,"It is the brain which makes the match, then the soul deals with higher level understanding associated with what was sensed."
69,"Additionally, many human actions in life are repetitive ones which use muscle memory information stored in the brain, and these occur apart from direct involvement of the soul."
70,"After the soul decides what will be done, the brain executes most of the task, allowing the soul to focus on the experience itself."
71,"Muscle memory and sensory memory are functions of the brain, so they are actually brain memory, or brain programming."
72,"They are stored in and performed by the brain instead of the soul, unless 12 the soul decides to get involved."
73,The difference is a matter of low order task accomplishment vs. higher order living as a human.
74,"Think about the intricacies involved in walking and running, a golf or tennis swing, ice skating, bicycle riding, basketball shooting, baseball and football throwing, and so on which are based on muscle memory stored in the brain and only supported from the soul."
75,"Brain damage can interfere with soul outputs and inputs, but such damage does not change the soul, or eliminate what was already contained in it."
76,"Therefore a person with memory diseases such as Alzheimer's or dementia cannot get what is in the soul out through the brain, meaning the core person and their memories are not lost or even changed."
77,"The soul can be closed off to some degree by the body, but that does not destroy what was already in the soul."
78,This will be discussed in more detail later.
79,We recognize them from the brain.
80,"Think about driving down a road, and all the potential sensory inputs as the scenery goes whizzing by us."
81,"All that sensory data would quickly overwhelm the soul if it were just dumped as raw, unfiltered data into the soul."
82,"The soul functions at a high level, so most sensory data must be sorted and filtered in the brain before being turned over to the soul."
83,"During this process, which turns raw data into information, most of the raw data is disregarded as irrelevant."
